,auction_code,car_year,color,make,model,subseries,body,engine,transmission,mileage,condition_grade,times_run,seller,sale_price,formatted_sold_date
1,AYCA,2005,SILVER,ACURA,MDX,TOURING,SUV,6G,A,182757,24,1,5362166,2400,2017-01-02
5,AYCA,2009,MAROON,ACURA,MDX,TECH PKG,SUV,6G,A,145063,36,4,5174895,8000,2017-01-02
6,AYCA,2001,GOLD,ACURA,MDX AWD,TOURING,SUV,6G,A,205796,13,1,5119237,1200,2017-01-02
7,GCAA,2014,WHITE,ACURA,RLX FWD,TECH PKG,4DSN,6G,A,41469,29,2,4905510,21000,2017-01-02
11,MAA,2014,GREY,ACURA,MDX AWD,TECH PKG,SUV,6G,A,31563,30,1,4905510,28300,2017-01-02
12,MAA,2013,BLACK,ACURA,TL FWD V6,SPECIAL ED,4DSN,6G,A,8159,27,1,4905510,16000,2017-01-02
15,MAA,2013,GREY,ACURA,ILX,PREMIUM,4DSN,4G,A,41464,26,1,4905510,11700,2017-01-02
18,MAA,2013,SILVER,ACURA,ILX,TECH PKG,4DSN,4G,A,36432,20,1,4905510,12600,2017-01-02
20,MAA,2013,SILVER,ACURA,TL FWD V6,TECH,4DSN,6G,A,20055,19,1,4905510,15500,2017-01-02
21,MAA,2014,BLACK,ACURA,TL FWD V6,TECH PKG,4DSN,6G,A,21899,26,2,4905510,17500,2017-01-02
22,MAA,2014,WHITE,ACURA,ILX,TECH PKG,4DSN,4G,A,23294,27,1,4905510,14500,2017-01-02
23,MAA,2014,BLACK,ACURA,ILX,PREMIUM,4DSN,4G,A,15246,25,1,4905510,13400,2017-01-02
24,MAA,2013,BLACK,ACURA,ILX,TECH PKG,4DSN,4G,A,23561,13,1,4905510,12700,2017-01-02
25,MAA,2014,BLACK,ACURA,MDX AWD,TECH PKG,SUV,6G,A,46384,21,1,4905510,25200,2017-01-02
27,MAA,2013,SILVER,ACURA,ILX,PREMIUM,4DSN,4G,A,33297,23,1,4905510,11800,2017-01-02
28,MAA,2014,BLACK,ACURA,MDX AWD,TECH PKG,SUV,6G,A,72843,25,1,4905510,22000,2017-01-02
30,MAA,2014,WHITE,ACURA,TL FWD V6,TECH PKG,4DSN,6G,A,19819,27,1,4905510,17600,2017-01-02
31,MAA,2014,BLACK,ACURA,MDX AWD,TECH PKG,SUV,6G,A,49519,20,1,4905510,25300,2017-01-02
34,MAA,2013,GREY,ACURA,ILX,TECH PKG,4DSN,4G,P,40392,26,2,4905510,12700,2017-01-02
35,MAA,2014,BLACK,ACURA,RLX FWD,TECH PKG,4DSN,6G,A,45828,23,1,4905510,20400,2017-01-02
37,MAA,2013,BLACK,ACURA,ILX,PREMIUM,4DSN,4G,P,37841,25,1,4905510,11700,2017-01-02
38,MAA,2015,BLACK,ACURA,RDX AWD,TECH PKG,SUV,6G,A,17097,44,1,4905524,28600,2017-01-02
39,MAA,2014,BLACK,ACURA,TSX 4C,TECH PKG,4DSN,4G,A,48433,28,3,4905510,14100,2017-01-02
40,MAA,2013,GREY,ACURA,ILX,PREMIUM,4DSN,4G,P,19403,35,2,4905510,12800,2017-01-02
43,MAA,2013,BLACK,ACURA,TSX 4C,TECH PKG,4DSN,4G,A,29889,21,1,4905510,14700,2017-01-02
55,BIGH,2008,SILVER,ACURA,MDX 4X4,TECH PKG,SUV,6G,A,108440,27,1,5091982,9300,2017-01-03
64,SLAA,2003,SILVER,ACURA,MDX AWD,TOURING,SUV,6G,A,166970,13,1,5001023,1900,2017-01-03
71,SKYA,2010,BLUE,ACURA,TL FWD V6,TECH,4DSN,6G,A,101390,41,1,5064818,10900,2017-01-03
73,BWAE,2013,WHITE,ACURA,RDX FWD,TECH PKG,SUV,6G,A,151965,46,2,5048394,10000,2017-01-03
75,AAAI,2004,GREEN,ACURA,MDX 4X4,TOURING,SUV,6G,A,230599,20,1,5354629,800,2017-01-03
79,SKYA,2007,SILVER,ACURA,MDX,TECH PKG,SUV,6G,A,160725,16,1,4938000,5400,2017-01-03
82,SKYA,2002,BLUE,ACURA,RSX,AUTO,2DCP,4G,A,129644,28,1,4918814,1800,2017-01-03
83,SKYA,2007,GRAY,ACURA,MDX,TECH PKG,SUV,6G,A,131984,34,2,4903703,8200,2017-01-03
84,FAAO,2008,GRAY,ACURA,MDX 4X4,TECH PKG,SUV,6G,A,87416,34,1,4938321,13000,2017-01-03
86,SVAA,2009,BLACK,ACURA,MDX,SPORT,SUV,6G,A,74181,28,1,5353051,13500,2017-01-03
90,RAA,2012,MAROON,ACURA,RDX FWD,TECH PKG,SUV,4GT,A,45045,38,3,5276326,15750,2017-01-03
95,FAAO,2014,GRAY,ACURA,RLX FWD,TECH PKG,4DSN,6G,A,12213,47,2,4905510,26600,2017-01-03
97,FAAO,2013,SILVER,ACURA,ILX,PREMIUM,4DSN,4G,A,46035,45,3,4905510,12600,2017-01-03
99,FAAO,2014,MAROON,ACURA,RDX FWD,TECH PKG,SUV,6G,A,61228,42,2,4905510,19100,2017-01-03
101,FAAO,2013,BLACK,ACURA,TL FWD V6,TECH PKG,4DSN,6G,A,50037,39,3,4905510,15000,2017-01-03
103,FAAO,2013,WHITE,ACURA,TL FWD V6,TECH PKG,4DSN,6G,A,37440,38,2,4905510,17400,2017-01-03
107,FAAO,2013,GRAY,ACURA,TL FWD V6,TECH PKG,4DSN,6G,A,32381,22,2,4905510,15800,2017-01-03
110,GOAA,2007,MAROON,ACURA,MDX,SPORT,SUV,6G,A,159315,27,2,5101355,5700,2017-01-03
111,GOAA,2008,GRAY,ACURA,TL,TYPE-S,4DSN,6G,A,197620,15,1,5073079,4000,2017-01-03
114,GOAA,2001,NIGHTHAW,ACURA,CL,TYPE-S,2DCP,6G,A,112101,29,1,5297735,1200,2017-01-03
116,AAA,2001,SILVER,ACURA,MDX AWD,TOURING,SUV,6G,A,224084,21,4,5261060,2100,2017-01-03
117,AAA,2001,WHITE,ACURA,CL,TYPE-S,2DCP,6G,A,257071,24,1,5008660,800,2017-01-03
119,AAA,2003,BLACK,ACURA,TL,TYPE-S,4DSN,6G,A,192843,19,1,5006100,1300,2017-01-03
127,AAA,2005,BLACK,ACURA,MDX,TOURING,SUV,6G,A,153855,35,1,5065413,4500,2017-01-03
128,AAA,2004,BLUE,ACURA,MDX 4X4,TOURING,SUV,6G,A,182737,21,1,5065413,2900,2017-01-03
129,AAA,2006,BLACK,ACURA,MDX 4X4,TOURING,SUV,6G,A,151898,29,1,5000750,5500,2017-01-03
130,DAA,2012,BLACK,ACURA,TL AWD V6,TECH PKG,4DSN,6G,A,52422,48,1,4993796,17000,2017-01-03
131,DAA,2007,BLACK,ACURA,MDX,TECH PKG,SUV,6G,A,189551,12,3,4903763,5200,2017-01-03
134,AAA,2005,GREY,ACURA,MDX,TOURING,SUV,6G,A,193837,19,1,4933619,1600,2017-01-03
136,OAA,2013,WHITE,ACURA,TL FWD V6,TECH,4DSN,6G,A,31701,44,2,4905510,17000,2017-01-03
138,OAA,2013,BLACK,ACURA,TL FWD V6,TECH,4DSN,6G,A,44927,41,1,4905510,17000,2017-01-03
139,OAA,2013,BLACK,ACURA,TL AWD V6,TECH,4DSN,6G,A,35382,41,1,4905510,19900,2017-01-03
140,OAA,2013,WHITE,ACURA,TL FWD V6,TECH,4DSN,6G,A,15402,40,2,4905510,17600,2017-01-03
143,OAA,2014,WHITE,ACURA,ILX,PREMIUM,4DSN,4G,A,27174,38,1,4905510,14200,2017-01-03
153,OAA,2014,BLACK,ACURA,MDX AWD,TECH PKG,SUV,6G,A,30692,34,2,4905510,28800,2017-01-03
155,OAA,2014,BLACK,ACURA,ILX,PREMIUM,4DSN,4G,A,7977,33,1,4905510,14800,2017-01-03
156,OAA,2014,BLACK,ACURA,RDX AWD,TECH PKG,SUV,6G,A,37251,33,1,4905510,22000,2017-01-03
159,SVAA,2005,BLUE,ACURA,MDX,TOURING,SUV,6G,A,157366,16,1,4916882,3400,2017-01-03
162,MAA,2014,GREY,ACURA,MDX AWD,TECH PKG,SUV,6G,A,47790,41,3,5014530,28800,2017-01-03
163,RAA,2016,SILVER,ACURA,MDX AWD,TECH PKG,SUV,6G,A,25185,50,2,5054730,36200,2017-01-03
168,OAA,2012,BLACK,ACURA,TL AWD V6,TECH PKG,4DSN,6G,A,31262,13,5,4993796,17000,2017-01-03
170,MAA,2014,BLACK,ACURA,MDX AWD,TECH PKG,SUV,6G,A,26332,16,1,4905709,27000,2017-01-03
171,MAA,2014,BLACK,ACURA,MDX AWD,TECH PKG,SUV,6G,A,35986,34,1,4905709,29100,2017-01-03
173,BAA,2011,SILVER,ACURA,MDX,TECH PKG,SUV,6G,A,84628,35,8,5056057,14000,2017-01-04
178,ALOH,2008,BLACK,ACURA,MDX 4X4,SPORT,SUV,6G,A,95448,32,2,5117355,13250,2017-01-04
179,KCAA,2006,SILVER,ACURA,TL,NONE,4DSN,6G,A,82504,33,1,5002720,8000,2017-01-04
182,NADE,2008,GRAY,ACURA,MDX 4X4,TECH PKG,SUV,6G,A,130936,27,1,4938321,7400,2017-01-04
184,SDAA,2004,GRAY,ACURA,RSX,TYPE-S,2DCP,4G,6,128534,16,1,5368629,4000,2017-01-04
196,NADE,2010,WHITE,ACURA,MDX,TECH PKG,SUV,6G,A,80552,26,10,5136490,17000,2017-01-04
201,BCAA,2016,GRAY,ACURA,TLX FWD 4C,TECH PKG,4DSN,4G,A,868,50,1,5046240,26500,2017-01-04
202,BCAA,2010,GRAY,ACURA,ZDX,TECH PKG,SUV,6G,A,73028,40,1,5046240,17500,2017-01-04
207,SDAA,2010,GRAY,ACURA,RDX AWD,TECH PKG,SUV,4GT,A,136685,27,1,5195223,7600,2017-01-04
208,SDAA,2002,RED,ACURA,MDX AWD,TOURING,SUV,6G,A,200102,20,1,5051528,1800,2017-01-04
212,NADE,2014,BLACK,ACURA,RDX AWD,TECH PKG,SUV,6G,A,41259,46,1,5392745,23250,2017-01-04
214,BCAA,2006,BLUE,ACURA,MDX 4X4,TOURING,SUV,6G,A,104228,27,1,5030042,7200,2017-01-04
216,BCAA,2008,BLACK,ACURA,TL,TYPE-S,4DSN,6G,A,77073,29,1,4997069,14500,2017-01-04
217,BCAA,2015,WHITE,ACURA,MDX FWD,TECH PKG,SUV,6G,A,23777,37,1,4997069,31000,2017-01-04
221,MAAI,2007,SILVER,ACURA,MDX,TECH PKG,SUV,6G,A,130692,37,2,5017657,8700,2017-01-04
225,SSAA,2010,GREY,ACURA,RDX AWD,TECH PKG,SUV,4GT,A,83949,39,1,5170663,13300,2017-01-04
227,CADE,2011,SILVER,ACURA,TL AWD V6,TECH PKG,4DSN,6G,A,130177,37,2,5035767,9000,2017-01-04
228,CADE,2006,WHITE,ACURA,MDX 4X4,TOURING,SUV,6G,A,193588,35,1,5099850,3250,2017-01-04
229,CADE,2006,BLACK,ACURA,MDX 4X4,TOURING,SUV,6G,A,139442,33,1,5035767,5250,2017-01-04
240,DALA,2013,GRAY,ACURA,RDX FWD,TECH PKG,SUV,6G,A,98938,33,2,5408248,13000,2017-01-04
241,NASH,2014,SILVER,ACURA,MDX AWD,TECH PKG,SUV,6G,A,37480,34,1,5258127,29800,2017-01-04
244,CADE,2001,SILVER,ACURA,MDX AWD,TOURING,SUV,6G,A,127193,28,2,4996406,1700,2017-01-04
248,NADE,2010,BLACK,ACURA,MDX,TECH PKG,SUV,6G,A,94749,35,4,5328028,14700,2017-01-04
252,NADE,2010,GRAY,ACURA,TL FWD V6,TECH,4DSN,6G,A,95581,35,1,5203954,8700,2017-01-04
256,NADE,2007,BROWN,ACURA,RDX,TECH PKG,SUV,4GT,A,61422,29,1,4968565,9600,2017-01-04
257,SVAA,2009,BLACK,ACURA,TSX FWD,TECH PKG,4DSN,4G,A,145721,19,1,5005989,6700,2017-01-04
260,AAA,2015,BLACK,ACURA,TLX FWD V6,V6,4DSN,6G,A,20870,43,4,5382157,23800,2017-01-04
264,SVAA,2003,BLACK,ACURA,MDX AWD,TOURING,SUV,6G,A,155117,23,1,5005327,2800,2017-01-04
268,GOAA,2011,GRAY,ACURA,MDX,TECH PKG,SUV,6G,A,88121,33,3,5294097,15900,2017-01-04
273,ALBA,2003,BLACK,ACURA,TL,TYPE-S,4DSN,6G,A,1,0,1,4935484,500,2017-01-04
284,JAX,2004,WHITE,ACURA,MDX 4X4,TOURING,SUV,6G,A,243617,31,1,5007193,1800,2017-01-05
287,THAA,2010,GRAY,ACURA,TL FWD V6,TECH,4DSN,6G,A,106670,37,1,5226796,9000,2017-01-05
288,AAA,2014,BLACK,ACURA,ILX,TECH PKG,4DSN,4G,A,46165,22,1,5000181,11700,2017-01-05
291,MAA,2013,SILVER,ACURA,RDX AWD,TECH PKG,SUV,6G,A,30821,45,1,4912530,22600,2017-01-05
292,SCAA,2016,WHITE,ACURA,MDX AWD,ADVANCE,SUV,6G,A,8160,42,1,5229855,38800,2017-01-05
295,DAAE,2014,WHITE,ACURA,RDX AWD,TECH PKG,SUV,6G,A,63782,25,1,5271128,19000,2017-01-05
300,SCAA,2008,BLACK,ACURA,MDX 4X4,TECH PKG,SUV,6G,A,124062,35,1,5033211,10500,2017-01-05
301,SCAA,2003,SILVER,ACURA,MDX AWD,TOURING,SUV,6G,A,165572,19,1,5033211,2600,2017-01-05
303,SPAA,2003,GRAY,ACURA,TL,TYPE-S,4DSN,6G,A,259614,19,1,5068974,1000,2017-01-05
310,LOUA,2010,BLACK,ACURA,TSX FWD V6,TECH PKG,4DSN,6G,A,85259,40,1,5142521,10400,2017-01-05
315,CINA,2008,BLACK,ACURA,TL,TYPE-S,4DSN,6G,A,95744,35,1,5035536,10500,2017-01-05
321,PXAA,2008,GRAY,ACURA,TL,TYPE-S,4DSN,6G,A,141520,33,1,5031183,7900,2017-01-05
323,AAA,2005,SILVER,ACURA,MDX,TOURING,SUV,6G,A,160780,37,1,5000871,4700,2017-01-05
324,AAA,2007,SILVER,ACURA,RDX,TECH PKG,SUV,4GT,A,119786,29,2,5000871,7100,2017-01-05
330,SPAA,2001,GREEN,ACURA,MDX AWD,TOURING,SUV,6G,A,180084,16,1,4935662,1000,2017-01-05
333,TBAA,2010,BLACK,ACURA,MDX,ADV PKG,SUV,6G,A,72502,43,1,5258824,18300,2017-01-05
346,SCAA,2007,GRAY,ACURA,RDX,TECH PKG,SUV,4GT,A,89392,40,1,5018079,10500,2017-01-05
347,DFWA,2004,BLUE,ACURA,MDX 4X4,TOURING,SUV,6G,A,213317,22,1,4982855,2200,2017-01-05
348,TBAA,2009,SILVER,ACURA,MDX,TECH PKG,SUV,6G,A,70783,35,1,4904831,13400,2017-01-05
349,FAA,2012,MAROON,ACURA,TL AWD V6,TECH PKG,4DSN,6G,A,85532,34,1,5159575,13400,2017-01-05
350,MAA,2014,BLACK,ACURA,TL FWD V6,A-SPEC,4DSN,6G,A,20356,44,1,4905510,19500,2017-01-05
351,MAA,2014,GREY,ACURA,TL FWD V6,SPECIAL ED,4DSN,6G,A,21156,42,1,4905510,19500,2017-01-05
355,MAA,2013,SILVER,ACURA,ILX,PREMIUM,4DSN,4G,P,22021,43,1,4905510,14000,2017-01-05
357,MAA,2013,SILVER,ACURA,TL FWD V6,TECH,4DSN,6G,A,22444,42,1,4905510,17200,2017-01-05
358,MAA,2013,4608371,ACURA,TL FWD V6,TECH,4DSN,6G,A,22503,43,1,4905510,17200,2017-01-05
362,MAA,2013,MAROON,ACURA,ILX,TECH PKG,4DSN,4G,A,23995,42,1,4905510,14100,2017-01-05
364,MAA,2014,WHITE,ACURA,ILX,TECH PKG,4DSN,4G,A,25167,40,2,4905510,15600,2017-01-05
365,MAA,2014,BLACK,ACURA,ILX,PREMIUM,4DSN,4G,A,26448,43,1,4905510,14900,2017-01-05
368,MAA,2013,GREY,ACURA,TL FWD V6,TECH,4DSN,6G,A,28695,43,1,4905510,17600,2017-01-05
370,MAA,2014,GREY,ACURA,ILX,PREMIUM,4DSN,4G,A,29275,44,1,4905510,14400,2017-01-05
376,MAA,2013,4778293,ACURA,TL FWD V6,SPECIAL ED,4DSN,6G,A,31639,41,2,4905510,16800,2017-01-05
377,MAA,2014,WHITE,ACURA,ILX,TECH PKG,4DSN,4G,A,31984,44,1,4905510,15900,2017-01-05
381,MAA,2014,4700286,ACURA,RDX FWD,TECH PKG,SUV,6G,A,35827,41,2,4905510,21900,2017-01-05
384,MAA,2014,BLACK,ACURA,RDX AWD,TECH PKG,SUV,6G,A,38355,41,2,4905510,23600,2017-01-05
386,MAA,2013,SILVER,ACURA,TL FWD V6,TECH,4DSN,6G,A,11071,36,1,4905510,16800,2017-01-05
387,MAA,2013,SILVER,ACURA,ILX,PREMIUM,4DSN,4G,P,16116,36,1,4905510,13900,2017-01-05
389,MAA,2013,GREY,ACURA,ILX,PREMIUM,4DSN,4G,A,16418,36,2,4905510,13500,2017-01-05
390,MAA,2013,GREY,ACURA,ILX,PREMIUM,4DSN,4G,P,17102,36,1,4905510,13600,2017-01-05
392,MAA,2013,SILVER,ACURA,ILX,PREMIUM,4DSN,4G,A,18343,37,1,4905510,13600,2017-01-05
393,MAA,2013,GREY,ACURA,TL FWD V6,TECH PKG,4DSN,6G,A,18436,37,1,4905510,17000,2017-01-05
394,MAA,2013,BLACK,ACURA,ILX,PREMIUM,4DSN,4G,A,19595,36,1,4905510,13800,2017-01-05
395,MAA,2013,WHITE,ACURA,TL FWD V6,SPECIAL ED,4DSN,6G,A,20878,37,1,4905510,16500,2017-01-05
396,MAA,2013,BLACK,ACURA,TL FWD V6,ADVANCE,4DSN,6G,A,22674,39,1,4905510,15800,2017-01-05
397,MAA,2013,WHITE,ACURA,TL FWD V6,TECH PKG,4DSN,6G,A,22938,37,2,4905510,17900,2017-01-05
398,MAA,2014,GREY,ACURA,RDX FWD,TECH PKG,SUV,6G,A,23362,37,2,4905510,21200,2017-01-05
399,MAA,2014,BLACK,ACURA,ILX,TECH PKG,4DSN,4G,A,24418,36,2,4905510,16200,2017-01-05
400,MAA,2013,WHITE,ACURA,TL FWD V6,TECH PKG,4DSN,6G,P,26169,38,1,4905510,17000,2017-01-05
401,MAA,2013,SILVER,ACURA,ILX,TECH PKG,4DSN,4G,P,28327,37,1,4905510,13900,2017-01-05
402,MAA,2013,BLACK,ACURA,ILX,TECH PKG,4DSN,4G,A,28843,39,2,4905510,14400,2017-01-05
403,MAA,2013,BLACK,ACURA,TL FWD V6,TECH PKG,4DSN,6G,A,28961,38,2,4905510,17400,2017-01-05
404,MAA,2013,BLACK,ACURA,TL FWD V6,TECH,4DSN,6G,A,29168,36,2,4905510,16900,2017-01-05
406,MAA,2013,GREY,ACURA,TL FWD V6,TECH,4DSN,6G,A,31369,37,2,4905510,16800,2017-01-05
407,MAA,2013,BLACK,ACURA,ILX,PREMIUM,4DSN,4G,P,34692,39,2,4905510,13400,2017-01-05
408,MAA,2014,BLACK,ACURA,TL FWD V6,TECH PKG,4DSN,6G,A,35231,39,1,4905510,19300,2017-01-05
409,MAA,2013,RED,ACURA,ILX,TECH PKG,4DSN,4G,P,36477,36,2,4905510,13700,2017-01-05
410,MAA,2013,4601139,ACURA,ILX,TECH PKG,4DSN,4G,A,36563,39,2,4905510,14300,2017-01-05
411,MAA,2013,GREY,ACURA,ILX,PREMIUM,4DSN,4G,P,36596,37,1,4905510,12800,2017-01-05
412,MAA,2013,BLACK,ACURA,TL FWD V6,TECH PKG,4DSN,6G,P,37543,36,2,4905510,16600,2017-01-05
413,MAA,2013,BLACK,ACURA,ILX,PREMIUM,4DSN,4G,A,39178,36,3,4905510,13000,2017-01-05
415,MAA,2013,BLACK,ACURA,TL FWD V6,TECH PKG,4DSN,6G,P,40879,36,3,4905510,16400,2017-01-05
419,THAA,2014,WHITE,ACURA,MDX AWD,TECH PKG,SUV,6G,A,45413,34,1,5118494,30250,2017-01-05
420,SCAA,2007,BLACK,ACURA,TL,TYPE-S,4DSN,6G,6,95991,29,1,4925422,11400,2017-01-05
422,GCAA,2013,BLACK,ACURA,ILX,HYBRID TEC,4DSN,4H,A,30739,46,2,4905510,14500,2017-01-05
424,GCAA,2013,GRAY,ACURA,TL FWD V6,TECH,4DSN,6G,A,26296,46,1,4905510,17800,2017-01-05
426,GCAA,2013,SILVER,ACURA,TL FWD V6,TECH,4DSN,6G,A,17395,44,1,4905510,18100,2017-01-05
427,GCAA,2014,WHITE,ACURA,RDX AWD,TECH PKG,SUV,6G,A,52881,43,2,4905510,21750,2017-01-05
430,GCAA,2013,SILVER,ACURA,TL FWD V6,TECH,4DSN,6G,A,27236,42,1,4905510,17700,2017-01-05
431,GCAA,2014,BLACK,ACURA,TL FWD V6,SE,4DSN,6G,A,35162,41,2,4905524,17300,2017-01-05
432,GCAA,2013,GRAY,ACURA,RDX FWD,TECH PKG,SUV,6G,A,50645,41,1,4905510,18800,2017-01-05
437,GCAA,2014,BLACK,ACURA,ILX,PREMIUM,4DSN,4G,A,41287,41,1,4905510,13700,2017-01-05
439,GCAA,2014,BLUE,ACURA,TL FWD V6,TECH PKG,4DSN,6G,A,35938,41,1,4905510,17900,2017-01-05
440,GCAA,2014,BLACK,ACURA,RDX AWD,TECH PKG,SUV,6G,A,45934,39,1,4905510,23500,2017-01-05
441,GCAA,2013,SILVER,ACURA,TL FWD V6,TECH,4DSN,6G,A,30322,39,1,4905510,16000,2017-01-05
442,GCAA,2013,BLACK,ACURA,TL FWD V6,TECH,4DSN,6G,A,29504,39,1,4905510,16000,2017-01-05
443,GCAA,2013,BLACK,ACURA,TL FWD V6,TECH,4DSN,6G,A,27953,39,1,4905510,16000,2017-01-05
445,GCAA,2013,GRAY,ACURA,ILX,TECH PKG,4DSN,4G,A,23471,38,1,4905510,14800,2017-01-05
446,GCAA,2014,GRAY,ACURA,TL FWD V6,TECH PKG,4DSN,6G,A,13137,38,1,4905510,19500,2017-01-05
449,GCAA,2013,SILVER,ACURA,TL FWD V6,SPECIAL ED,4DSN,6G,A,15846,38,1,4905510,17100,2017-01-05
452,GCAA,2013,BLACK,ACURA,TL FWD V6,TECH,4DSN,6G,A,25504,38,1,4905510,16300,2017-01-05
453,GCAA,2013,BLACK,ACURA,ILX,TECH PKG,4DSN,4G,A,35767,37,1,4905510,13200,2017-01-05
455,GCAA,2013,SILVER,ACURA,TL AWD V6,TECH,4DSN,6G,A,23385,37,1,4905510,22000,2017-01-05
456,GCAA,2013,GRAY,ACURA,ILX,TECH PKG,4DSN,4G,A,18637,36,1,4905510,15000,2017-01-05
457,GCAA,2014,WHITE,ACURA,RDX AWD,TECH PKG,SUV,6G,A,27783,36,1,4905510,25250,2017-01-05
459,GCAA,2013,BLACK,ACURA,TL FWD V6,TECH,4DSN,6G,A,28892,35,1,4905510,16000,2017-01-05
460,GCAA,2013,GRAY,ACURA,ILX,TECH PKG,4DSN,4G,A,23686,35,1,4905510,14000,2017-01-05
464,GCAA,2013,BLACK,ACURA,ILX,PREMIUM,4DSN,4G,A,10849,35,1,4905510,14200,2017-01-05
466,GCAA,2013,SILVER,ACURA,ILX,TECH PKG,4DSN,4G,A,22704,34,1,4905510,14800,2017-01-05
470,GCAA,2014,GRAY,ACURA,MDX AWD,ADV PKG,SUV,6G,A,28982,33,2,4905510,33000,2017-01-05
474,GCAA,2013,GRAY,ACURA,TL FWD V6,TECH,4DSN,6G,A,26039,31,1,4905510,15600,2017-01-05
475,GCAA,2013,GRAY,ACURA,TL AWD V6,TECH,4DSN,6G,A,44321,31,1,4905510,16600,2017-01-05
477,GCAA,2013,SILVER,ACURA,ILX,TECH PKG,4DSN,4G,A,29670,34,1,4905510,14600,2017-01-05
478,GCAA,2013,WHITE,ACURA,TL FWD V6,TECH,4DSN,6G,A,35968,29,1,4905510,16000,2017-01-05
481,GCAA,2013,WHITE,ACURA,TL AWD V6,TECH,4DSN,6G,A,43305,29,1,4905510,17100,2017-01-05
482,GCAA,2014,BLACK,ACURA,MDX AWD,TECH PKG,SUV,6G,A,60129,31,2,4905524,23000,2017-01-05
483,GCAA,2013,BLACK,ACURA,ILX,TECH PKG,4DSN,4G,A,29303,28,1,4905510,12900,2017-01-05
484,GCAA,2014,SILVER,ACURA,RDX FWD,TECH PKG,SUV,6G,A,36300,28,1,4905510,20750,2017-01-05
485,GCAA,2013,GRAY,ACURA,ILX,HYBRID TEC,4DSN,4H,A,16493,28,3,4905510,14000,2017-01-05
487,GCAA,2013,BLACK,ACURA,TL AWD V6,TECH,4DSN,6G,A,29057,28,1,4905510,17600,2017-01-05
488,GCAA,2013,GRAY,ACURA,TL FWD V6,TECH,4DSN,6G,A,35541,28,1,4905510,14800,2017-01-05
489,GCAA,2013,BLACK,ACURA,TL FWD V6,ADVANCE,4DSN,6G,A,32453,27,1,4905510,15900,2017-01-05
490,GCAA,2014,MAROON,ACURA,TL FWD V6,TECH PKG,4DSN,6G,A,33095,27,1,4905510,17500,2017-01-05
492,GCAA,2014,BLACK,ACURA,RLX FWD,TECH PKG,4DSN,6G,A,37607,26,2,4905510,20000,2017-01-05
494,GCAA,2013,GRAY,ACURA,ILX,PREMIUM,4DSN,4G,A,29605,19,1,4905510,11200,2017-01-05
495,GCAA,2013,WHITE,ACURA,TL AWD V6,TECH,4DSN,6G,A,27053,15,1,4905510,16000,2017-01-05
497,GCAA,2013,BLACK,ACURA,TL FWD V6,TECH,4DSN,6G,A,23485,14,2,4905510,15300,2017-01-05
499,AAAI,2001,GREEN,ACURA,MDX AWD,TOURING,SUV,6G,A,230212,24,1,5387545,1000,2017-01-05
501,MAA,2013,GREY,ACURA,TL FWD V6,TECH,4DSN,6G,A,27181,28,2,4905510,15400,2017-01-05
506,MAA,2013,GREY,ACURA,ILX,TECH PKG,4DSN,4G,P,46857,28,2,4905510,12800,2017-01-05
507,MAA,2013,WHITE,ACURA,ILX,TECH PKG,4DSN,4G,A,64172,28,2,4905510,11600,2017-01-05
508,MAA,2013,SILVER,ACURA,ILX,TECH PKG,4DSN,4G,A,26061,28,2,4905510,13200,2017-01-05
509,MAA,2014,SILVER,ACURA,TL FWD V6,SE,4DSN,6G,A,18979,29,2,4905510,18800,2017-01-05
511,MAA,2014,BLACK,ACURA,TL FWD V6,A-SPEC,4DSN,6G,A,27664,28,2,4905510,17100,2017-01-05
512,MAA,2014,BLACK,ACURA,TL FWD V6,SE,4DSN,6G,A,33030,29,2,4905510,17700,2017-01-05
513,MAA,2014,MAROON,ACURA,ILX,TECH PKG,4DSN,4G,A,33655,29,2,4905510,14300,2017-01-05
517,AAA,2014,BLACK,ACURA,RDX FWD,TECH PKG,SUV,6G,A,39482,38,1,4905709,21100,2017-01-05
518,MAA,2013,BLACK,ACURA,TL AWD V6,ADVANCE,4DSN,6G,A,22750,40,1,5018352,22500,2017-01-05
521,SCAA,2014,GRAY,ACURA,RDX FWD,TECH PKG,SUV,6G,A,29194,43,1,4905515,22700,2017-01-05
522,SCAA,2013,SILVER,ACURA,ILX,TECH PKG,4DSN,4G,A,16119,40,1,4905515,14000,2017-01-05
523,SCAA,2013,SILVER,ACURA,ILX,TECH PKG,4DSN,4G,A,29683,41,1,4905515,14100,2017-01-05
526,SCAA,2013,SILVER,ACURA,RDX FWD,TECH PKG,SUV,6G,A,24402,44,1,4905515,21700,2017-01-05
530,SVAA,2000,BLACK,ACURA,INTEGRA,LS,2DHB,4G,5,163770,13,1,5009123,1600,2017-01-05
532,NADE,2014,BLACK,ACURA,RDX AWD,TECH PKG,SUV,6G,A,16182,36,2,4905515,23900,2017-01-05
537,NVAA,2012,GRAY,ACURA,TL FWD V6,TECH PKG,4DSN,6G,A,49418,36,2,5393590,15000,2017-01-06
539,LMAA,2009,WHITE,ACURA,TSX FWD,TECH PKG,4DSN,4G,A,69694,41,1,5212733,11600,2017-01-06
542,NVAA,2015,BLACK,ACURA,TLX FWD V6,V6,4DSN,6G,A,27296,42,2,5209751,23250,2017-01-06
